NiTi crystalline-amorphous nanocomposite,,,NiTi crystalline-amorphous nanocomposite,,,110 nm-grain-size polycrystalline NiTi,,,110 nm-grain-size polycrystalline NiTi,
Superelastic,Fig. 2a,,Plastic,Fig. 2b,,Superelastic,Fig. 2a,,Plastic,Fig. 2b
Compressive strain,Compressive stress (MPa),,Compressive strain,Compressive stress (MPa),,Compressive strain,Compressive stress (MPa),,Compressive strain,Compressive stress (MPa)
0.01502,568.28874,,0.06173,2752.75046,,0.01701,216.47457,,0.07736,2000.64171
0.01498,566.4543,,0.06174,2753.6762,,0.01695,216.11936,,0.0774,2001.35767
0.01496,564.49979,,0.06182,2754.51774,,0.01686,215.89181,,0.07745,2002.03421
0.01491,562.65403,,0.06179,2755.41745,,0.01686,215.69317,,0.0775,2002.6333
0.01485,560.90912,,0.06177,2757.01958,,0.0169,215.19846,,0.0775,2003.41869
0.01482,559.18331,,0.06182,2758.63175,,0.01672,214.81886,,0.07755,2004.41905
0.01478,557.43925,,0.06198,2759.6946,,0.01665,214.69064,,0.0776,2005.32725
0.01474,555.74849,,0.06209,2759.93851,,0.01657,214.60735,,0.07765,2006.05008
0.01474,553.9545,,0.06211,2759.99229,,0.01657,214.50002,,0.07765,2006.93372
0.01465,552.2286,,0.0622,2759.87428,,0.01641,214.4534,,0.07771,2008.01048
0.01463,550.59339,,0.06218,2759.86809,,0.01631,214.69429,,0.07771,2009.11226
0.0146,548.87512,,0.06212,2760.76852,,0.01634,214.80873,,0.07779,2010.19431
0.01455,547.16484,,0.06226,2761.85901,,0.01634,214.80798,,0.07783,2011.06575
0.01453,545.45438,,0.06235,2761.92999,,0.01634,214.63722,,0.07786,2012.08852
0.01448,543.74928,,0.06235,2762.02825,,0.01627,214.42447,,0.07789,2013.15148
0.01446,542.01508,,0.06232,2762.84504,,0.01628,214.17697,,0.07794,2014.15088
0.01442,540.26424,,0.06239,2763.72874,,0.01624,213.82712,,0.07798,2015.20949
0.01438,538.45785,,0.06251,2764.36882,,0.01625,213.41666,,0.07802,2016.21389
0.01434,536.72283,,0.06262,2764.08029,,0.01625,212.84253,,0.0781,2017.13952
0.01433,534.87936,,0.06259,2763.94606,,0.0162,212.21777,,0.07813,2017.87109
0.01428,533.00933,,0.06255,2764.68911,,0.01611,211.67291,,0.0782,2018.65613
0.01426,531.1507,,0.06256,2765.89166,,0.01597,211.31599,,0.07825,2019.25524
0.01417,529.4342,,0.06274,2766.67231,,0.01593,211.0687,,0.07825,2019.94137
0.01418,527.64478,,0.06281,2766.40394,,0.01595,210.74162,,0.07832,2020.90463
0.01413,525.73783,,0.06272,2766.73795,,0.01596,210.21424,,0.07835,2021.56492
0.01408,523.98353,,0.0627,2767.98631,,0.01589,209.65502,,0.07837,2022.57679
0.01405,522.18622,,0.06277,2769.38237,,0.01575,209.26746,,0.07845,2023.50945
0.01399,520.51302,,0.06284,2770.34576,,0.01569,209.03698,,0.07851,2023.97073
0.01399,518.7521,,0.06283,2771.49519,,0.01577,208.64346,,0.07853,2024.72277
0.01395,516.90168,,0.0629,2772.61621,,0.01579,207.96044,,0.07858,2025.53784
0.0139,515.11761,,0.06303,2773.30162,,0.01569,207.24698,,0.07863,2026.21469
0.01388,513.2889,,0.06314,2773.16963,,0.0155,206.86993,,0.07869,2026.88172
0.01381,511.54368,,0.06311,2773.0826,,0.01542,206.75839,,0.07871,2027.43395
0.01378,509.85346,,0.06316,2773.49987,,0.01546,206.53363,,0.07876,2028.26324
0.01369,508.38345,,0.06309,2774.38035,,0.01546,206.07088,,0.07879,2028.97485
0.01369,506.87771,,0.06316,2775.6691,,0.01539,205.59841,,0.07881,2029.83729
0.01366,505.22751,,0.06331,2776.11964,,0.01534,205.19884,,0.07884,2030.9021
0.01362,503.60429,,0.06332,2776.26794,,0.01533,204.74797,,0.07889,2031.93562
0.01361,501.89601,,0.0633,2776.97612,,0.01533,204.16207,,0.07895,2032.85254
0.0136,500.02795,,0.06338,2777.84238,,0.01525,203.58484,,0.07898,2033.63774
0.01354,498.15414,,0.06348,2778.06247,,0.01516,203.11661,,0.07902,2034.57687
0.01349,496.37294,,0.06347,2778.38068,,0.0151,202.76312,,0.0791,2035.41709
0.01343,494.73845,,0.06353,2778.85907,,0.015,202.43501,,0.07914,2036.05862
0.01344,492.97733,,0.06361,2779.2455,,0.01494,202.26053,,0.07918,2036.84115
0.01335,491.27345,,0.06367,2779.2926,,0.01496,201.96255,,0.0792,2037.64082
0.01334,489.56918,,0.06364,2779.46268,,0.01492,201.57547,,0.07926,2038.50224
0.01327,487.91498,,0.06366,2780.34976,,0.01498,201.04685,,0.07934,2039.14967
0.01324,486.39731,,0.06371,2781.28431,,0.01493,200.30631,,0.07938,2039.70206
0.0132,484.83767,,0.0638,2781.77753,,0.01476,199.83933,,0.0794,2040.42063
0.01318,483.27594,,0.06384,2782.01589,,0.01465,199.63041,,0.07947,2040.99064
0.01313,481.71145,,0.06382,2782.86395,,0.01467,199.40534,,0.07948,2041.641
0.0131,480.14036,,0.06393,2783.54875,,0.01461,199.06193,,0.07953,2042.40325
0.01309,478.44184,,0.06396,2783.90406,,0.01447,198.84157,,0.07957,2043.23075
0.01303,476.70726,,0.06393,2784.59975,,0.01433,198.95791,,0.07966,2043.81601
0.01301,475.05813,,0.06396,2785.79658,,0.01438,199.02535,,0.0797,2044.24821
0.01297,473.31868,,0.06405,2786.70182,,0.01444,198.77477,,0.07972,2044.86065
0.01291,471.63928,,0.06404,2787.49859,,0.01434,198.46039,,0.0798,2045.53431
0.01288,470.02276,,0.06403,2788.95968,,0.01433,198.20054,,0.07981,2046.01715
0.01288,468.31995,,0.06428,2789.63397,,0.01429,197.82856,,0.07987,2046.69981
0.01283,466.52818,,0.06433,2788.99037,,0.01423,197.51108,,0.07994,2047.16547
0.0128,464.68265,,0.0642,2789.40946,,0.01422,197.09995,,0.07994,2047.77203
0.01272,463.10109,,0.0642,2790.94908,,0.01405,196.81392,,0.07998,2048.58167
0.01272,461.40844,,0.06433,2792.10897,,0.01393,196.88754,,0.08009,2049.04565
0.01269,459.59127,,0.06447,2792.28929,,0.01395,196.86462,,0.08007,2049.73468
0.01265,457.82486,,0.06443,2792.40025,,0.01396,196.70325,,0.08014,2050.43923
0.01257,456.15075,,0.06443,2793.30818,,0.01396,196.33161,,0.08019,2050.94808
0.01257,454.5114,,0.06455,2794.05613,,0.0139,196.02633,,0.08021,2051.64932
0.0125,452.89982,,0.06459,2794.22926,,0.01402,195.4219,,0.08026,2052.29219
0.01245,451.38139,,0.06463,2794.67472,,0.01398,194.63678,,0.08031,2053.07249
0.0124,449.96369,,0.06473,2794.81395,,0.0139,193.8973,,0.08033,2053.73743
0.01242,448.39512,,0.06475,2794.81658,,0.01378,193.32739,,0.08041,2054.55361
0.01237,446.69645,,0.06482,2794.82313,,0.0137,192.89152,,0.08049,2054.93394
0.01235,444.94689,,0.06481,2795.0401,,0.01356,192.61528,,0.08049,2055.35038
0.0123,443.27724,,0.0648,2795.72226,,0.01345,192.58008,,0.08054,2056.03513
0.01227,441.58088,,0.06477,2796.93336,,0.01341,192.58484,,0.08056,2056.71757
0.01223,439.90276,,0.06489,2798.2799,,0.01335,192.59677,,0.0806,2057.55381
0.01219,438.19313,,0.065,2798.67198,,0.01332,192.58164,,0.08065,2058.33426
0.01214,436.58015,,0.06503,2798.90728,,0.01334,192.40728,,0.08075,2058.8986
0.01208,435.03452,,0.06493,2799.63661,,0.0133,192.16885,,0.08078,2059.33066
0.01207,433.55259,,0.06503,2801.12711,,0.01331,191.83131,,0.0808,2059.97209
0.01204,431.90932,,0.06522,2801.41637,,0.01318,191.54886,,0.08083,2060.75218
0.01199,430.22421,,0.06523,2801.21142,,0.01314,191.33288,,0.08091,2061.38963
0.01196,428.66457,,0.06527,2801.24443,,0.01307,191.18218,,0.08094,2061.94357
0.01194,427.00151,,0.06531,2801.52925,,0.01307,190.96963,,0.08097,2062.79382
0.01187,425.34357,,0.06537,2801.56462,,0.01297,190.74454,,0.08106,2063.30589
0.01186,423.74269,,0.0653,2802.17858,,0.01291,190.67613,,0.08107,2063.96398
0.01183,422.08503,,0.06533,2803.32413,,0.01303,190.35113,,0.08112,2064.53844
0.01178,420.40268,,0.06536,2804.55413,,0.01305,189.6671,,0.08117,2065.24323
0.01174,418.7603,,0.06546,2805.40656,,0.01295,189.03087,,0.08119,2065.91402
0.0117,417.11372,,0.0655,2805.97266,,0.013,188.36107,,0.0812,2066.76271
0.01163,415.67461,,0.06547,2806.98155,,0.01285,187.64866,,0.08129,2067.66062
0.01167,413.94102,,0.06559,2808.02319,,0.01278,187.18076,,0.08136,2068.2164
0.01158,412.28297,,0.06571,2808.19988,,0.01265,186.82497,,0.08142,2068.60108
0.01156,410.65153,,0.06578,2807.97467,,0.01245,186.78559,,0.08145,2069.10076
0.01152,408.96351,,0.0658,2807.67543,,0.01245,186.8486,,0.08152,2069.4907
0.0115,407.30501,,0.06575,2808.12862,,0.01242,186.85476,,0.08154,2070.03525
0.01141,405.77802,,0.06574,2809.17243,,0.0123,186.90157,,0.08159,2070.54411
0.01139,404.24134,,0.06581,2810.36153,,0.01224,187.06411,,0.08164,2071.0512
0.01135,402.72299,,0.06599,2810.6918,,0.01225,187.14445,,0.08165,2071.78791
0.01133,401.15297,,0.06601,2810.40011,,0.01224,187.08539,,0.08169,2072.46467
0.01128,399.59438,,0.06597,2810.82222,,0.01217,187.01354,,0.08174,2073.25537
0.01124,398.08539,,0.06602,2811.71117,,0.01222,186.85681,,0.08177,2074.03888
0.01123,396.42161,,0.06618,2811.89184,,0.01213,186.55656,,0.08183,2074.82006
0.01115,394.97531,,0.06617,2811.76042,,0.01199,186.45678,,0.0819,2075.43253
0.01116,393.43126,,0.0662,2812.10322,,0.01192,186.56697,,0.08194,2076.05228
0.01115,391.62187,,0.06621,2812.58814,,0.01183,186.68632,,0.08198,2076.62261
0.01109,389.91109,,0.0662,2813.47704,,0.01178,186.88542,,0.08205,2077.10512
0.01106,388.20579,,0.06629,2814.40273,,0.01178,186.98201,,0.08209,2077.56696
0.01099,386.54945,,0.0663,2815.12078,,0.01165,187.13812,,0.08211,2078.11952
0.01094,385.01,,0.06622,2816.51847,,0.01168,187.31743,,0.0822,2078.62885
0.01089,383.60135,,0.06639,2818.13,,0.01171,187.21201,,0.08222,2079.09988
0.0109,382.00255,,0.06653,2818.11667,,0.01175,186.91576,,0.08229,2079.53739
0.01081,380.49293,,0.06661,2818.01682,,0.01167,186.53622,,0.08232,2080.02033
0.0108,379.04549,,0.06665,2817.68898,,0.01142,186.48471,,0.08238,2080.40385
0.01076,377.5289,,0.06667,2817.4647,,0.0113,186.83763,,0.0824,2080.97507
0.01073,376.02845,,0.06677,2817.38508,,0.01137,187.05483,,0.08245,2081.49792
0.01067,374.58118,,0.06673,2817.24774,,0.01129,187.11701,,0.08251,2082.14391
0.01067,373.00877,,0.06664,2818.20684,,0.01121,187.32976,,0.08254,2082.64898
0.01059,371.55316,,0.06661,2820.00833,,0.01117,187.5334,,0.08263,2083.11155
0.01057,370.09635,,0.06674,2821.67448,,0.01116,187.61624,,0.08268,2083.36377
0.01055,368.58178,,0.06678,2822.78655,,0.01111,187.70479,,0.08271,2083.65245
0.01052,366.98977,,0.06683,2823.85422,,0.01098,187.8748,,0.08277,2084.11751
0.01049,365.32155,,0.06696,2824.42867,,0.01087,188.25423,,0.08285,2084.33221
0.01043,363.72366,,0.06712,2824.23308,,0.01088,188.57255,,0.08289,2084.47948
0.01043,362.167,,0.06715,2823.42885,,0.01078,188.85441,,0.08293,2084.64243
0.01038,360.45325,,0.06714,2823.20311,,0.01063,189.40932,,0.083,2084.93048
0.01032,358.89786,,0.06711,2823.53293,,0.01065,189.99272,,0.08301,2085.10477
0.01031,357.28499,,0.06714,2824.47967,,0.01072,190.18537,,0.08307,2085.5183
0.01024,355.7623,,0.0672,2825.10751,,0.01069,190.2634,,0.08314,2085.79389
0.01021,354.26762,,0.06718,2825.90251,,0.01071,190.20792,,0.08318,2086.07431
0.01015,352.81196,,0.06724,2827.10594,,0.01061,190.14851,,0.08324,2086.18809
0.01014,351.36325,,0.06739,2827.4562,,0.01068,189.99891,,0.08329,2086.43361
0.01011,349.8032,,0.06742,2827.72837,,0.01066,189.61737,,0.08337,2086.43831
0.01006,348.28668,,0.06749,2827.66142,,0.01059,189.29183,,0.08342,2086.39809
0.01009,346.58248,,0.06744,2828.12034,,0.01055,188.92149,,0.08348,2086.371
0.01001,344.83367,,0.0675,2828.90895,,0.01049,188.6299,,0.08353,2086.14843
0.00996,343.23575,,0.06751,2829.56166,,0.01045,188.28956,,0.08358,2086.1381
0.00994,341.64676,,0.06759,2830.4542,,0.01037,188.02766,,0.08362,2086.1345
0.0099,339.97171,,0.06766,2830.77039,,0.01028,187.8188,,0.08367,2086.38502
0.00983,338.42845,,0.06765,2831.35375,,0.01019,187.79742,,0.08375,2086.2472
0.0098,336.93797,,0.0677,2832.10731,,0.01021,187.64848,,0.08377,2086.37171
0.00975,335.5949,,0.06773,2832.88037,,0.01021,187.37183,,0.08388,2086.2192
0.00972,334.10024,,0.06775,2833.75586,,0.01005,187.15732,,0.0839,2085.90207
0.00971,332.57814,,0.06784,2834.52558,,0.00986,187.36445,,0.08397,2085.79973
0.00969,330.92822,,0.06786,2835.06156,,0.00993,187.51806,,0.08402,2085.72943
0.00963,329.32324,,0.06795,2835.62679,,0.00988,187.51279,,0.08407,2085.61131
0.00958,327.80916,,0.06807,2835.54875,,0.00982,187.52391,,0.08411,2085.44708
0.00954,326.35039,,0.06803,2835.48118,,0.00971,187.65463,,0.08415,2085.62645
0.00952,324.79987,,0.06808,2836.1494,,0.00973,187.71422,,0.08422,2085.59699
0.00949,323.19645,,0.06821,2836.17951,,0.00973,187.67879,,0.08424,2085.64493
0.00944,321.64921,,0.06833,2835.60127,,0.00975,187.43573,,0.0843,2085.74575
0.00939,320.17066,,0.06827,2835.08583,,0.00969,187.10659,,0.08435,2086.01991
0.00937,318.67076,,0.06822,2835.66639,,0.00958,186.93981,,0.08436,2086.22484
0.00932,317.16591,,0.06817,2837.10135,,0.00955,186.81129,,0.08442,2086.51456
0.00927,315.68746,,0.06826,2838.67551,,0.00952,186.5835,,0.08449,2086.79754
0.00925,314.18527,,0.06849,2839.07905,,0.00952,186.33131,,0.08455,2086.86121
0.0092,312.80706,,0.06856,2838.51407,,0.00954,185.9017,,0.08457,2087.15011
0.00919,311.27816,,0.06863,2837.97723,,0.0095,185.36743,,0.08457,2087.59234
0.00915,309.72165,,0.0686,2837.46456,,0.00946,184.85038,,0.08469,2087.97586
0.00911,308.18065,,0.06862,2837.73597,,0.00939,184.3814,,0.08474,2088.11847
0.00911,306.52693,,0.06866,2837.98606,,0.00945,183.7681,,0.08477,2088.3949
0.00905,304.88001,,0.0686,2838.82156,,0.00937,183.05221,,0.08481,2088.68626
0.00899,303.37186,,0.06857,2840.44497,,0.00934,182.42174,,0.08483,2089.10237
0.00896,301.86199,,0.06867,2841.92661,,0.00921,181.83107,,0.08491,2089.58466
0.00894,300.27971,,0.06874,2842.93777,,0.00902,181.57572,,0.08498,2089.83595
0.00893,298.64587,,0.06878,2843.80098,,0.00888,181.63707,,0.08501,2090.14909
0.00886,296.99929,,0.0689,2844.38181,,0.00837,181.87793,,0.08508,2090.23846
0.00884,295.35144,,0.069,2844.42536,,0.0061,186.74391,,0.08511,2090.56579
0.00879,293.7419,,0.06905,2843.9175,,0.00616,193.47692,,0.08518,2090.81368
0.00876,292.16108,,0.06892,2844.53534,,0.00624,199.83845,,0.08521,2090.98426
0.00869,290.54908,,0.06899,2845.67041,,0.0063,205.81476,,0.08526,2091.28683
0.0087,288.9534,,0.06901,2846.74895,,0.0064,211.35901,,0.0853,2091.51462
0.00862,287.40546,,0.06907,2847.82702,,0.00645,216.44914,,0.08537,2091.86977
0.00859,285.9681,,0.06907,2848.9171,,0.00648,221.28655,,0.08542,2092.09873
0.00854,284.51456,,0.06917,2849.91064,,0.0065,225.74106,,0.08549,2092.17284
0.00852,283.00741,,0.06923,2850.5402,,0.00656,229.96559,,0.08554,2092.15775
0.0085,281.42141,,0.06929,2851.13261,,0.00669,233.67223,,0.08557,2092.34111
0.00845,279.87923,,0.06947,2850.90072,,0.00683,236.73757,,0.08561,2092.63101
0.00839,278.40349,,0.06959,2849.9353,,0.00695,239.20785,,0.08568,2092.91317
0.0084,276.86154,,0.06956,2848.9474,,0.00693,241.30618,,0.08574,2093.03264
0.00836,275.21261,,0.06951,2848.97648,,0.00687,243.39622,,0.08576,2093.13304
0.00828,273.66716,,0.06954,2849.45876,,0.00692,245.299,,0.08581,2093.43877
0.00826,272.18813,,0.06961,2849.87926,,0.00701,246.75302,,0.08592,2093.52489
0.0082,270.79693,,0.06961,2850.41085,,0.00706,247.80727,,0.08593,2093.52024
0.00821,269.22295,,0.06963,2851.15898,,0.007,248.73868,,0.08597,2093.70076
0.00817,267.61935,,0.06972,2851.94272,,0.007,249.64067,,0.08599,2094.0347
0.00809,266.10604,,0.0698,2852.37145,,0.00707,250.18466,,0.08605,2094.52793
0.00805,264.75455,,0.06983,2852.45999,,0.00703,250.53887,,0.08614,2094.64052
0.00802,263.35902,,0.06986,2852.78627,,0.00702,250.85432,,0.08616,2094.93414
0.008,261.87632,,0.06987,2853.37433,,0.00707,250.89999,,0.0862,2095.16892
0.00795,260.44627,,0.06992,2854.09672,,0.00706,250.76795,,0.08625,2095.50244
0.0079,259.07992,,0.06989,2854.93064,,0.00701,250.55874,,0.08626,2096.08773
0.00787,257.68019,,0.06988,2856.49799,,0.00695,250.40109,,0.08632,2096.53059
0.00785,256.22797,,0.07003,2857.67157,,0.00699,250.11124,,0.08636,2097.04992
0.0078,254.78911,,0.0701,2858.11724,,0.00695,249.69077,,0.08641,2097.62188
0.00776,253.44604,,0.07013,2858.55714,,0.00694,249.21683,,0.08648,2098.09793
0.00773,252.03691,,0.07019,2859.00786,,0.00691,248.66205,,0.08654,2098.51068
0.0077,250.55671,,0.07024,2859.18067,,0.00695,247.93865,,0.08655,2098.8916
0.00765,249.16568,,0.07027,2859.69034,,0.00696,247.0284,,0.08659,2099.4006
0.00765,247.65577,,0.07033,2859.89109,,0.00702,245.90356,,0.08667,2099.9221
0.00758,246.2003,,0.07031,2860.50898,,0.00697,244.61131,,0.08673,2100.1951
0.00755,244.78662,,0.07049,2860.9299,,0.00688,243.49048,,0.08681,2100.33087
0.0075,243.35479,,0.07054,2860.5103,,0.00693,242.27985,,0.08682,2100.51772
0.00749,241.96164,,0.07054,2860.436,,0.00689,240.94041,,0.08684,2101.09229
0.00746,240.35407,,0.07046,2861.12514,,0.00685,239.64236,,0.08695,2101.4336
0.00744,238.79049,,0.07053,2862.34353,,0.00687,238.23578,,0.087,2101.44409
0.00738,237.26878,,0.07064,2862.97964,,0.00683,236.74209,,0.08703,2101.48812
0.00733,235.83069,,0.07084,2862.62468,,0.00685,235.22977,,0.08709,2101.84574
0.00732,234.35259,,0.07075,2862.15072,,0.0068,233.60302,,0.08712,2102.07236
0.00727,232.83784,,0.0708,2862.67153,,0.00673,232.11887,,0.08716,2102.40046
0.00726,231.25987,,0.07084,2862.87995,,0.00675,230.58698,,0.08722,2102.73353
0.00723,229.66666,,0.07086,2863.2603,,0.00679,228.88616,,0.08729,2102.93284
0.00717,228.07686,,0.07086,2864.07245,,0.00675,227.04436,,0.08727,2103.39399
0.00713,226.55915,,0.07092,2864.89603,,0.00661,225.4212,,0.08733,2104.07132
0.0071,225.03745,,0.07099,2865.48235,,0.00656,223.97699,,0.08741,2104.44637
0.00705,223.51485,,0.07105,2865.88851,,0.00655,222.48809,,0.08747,2104.73816
0.00701,222.05874,,0.071,2866.4312,,0.00653,220.97084,,0.08754,2104.77601
0.007,220.51696,,0.07099,2867.96362,,0.00656,219.31895,,0.08761,2105.04324
0.00695,218.91204,,0.07119,2869.02698,,0.00652,217.61946,,0.08764,2104.88866
0.00692,217.37353,,0.07141,2868.13813,,0.00646,215.98019,,0.08768,2105.03266
0.0069,215.75345,,0.07119,2867.64701,,0.00641,214.43798,,0.08775,2105.33892
0.00683,214.16516,,0.07114,2869.40376,,0.00645,212.78117,,0.08779,2105.36973
0.00682,212.65414,,0.07127,2870.74351,,0.00643,210.96652,,0.08784,2105.38349
0.00678,211.0533,,0.07137,2871.32509,,0.00637,209.22067,,0.08786,2105.69555
0.00673,209.51333,,0.07146,2871.54435,,0.00629,207.60798,,0.08788,2106.13788
0.00672,207.92983,,0.07143,2871.76716,,0.00629,205.98908,,0.08795,2106.64639
0.00668,206.32741,,0.07148,2872.7026,,0.00633,204.19717,,0.08802,2106.92236
0.00664,204.731,,0.07163,2872.82159,,0.00628,202.37462,,0.08805,2107.28854
0.00658,203.15703,,0.07165,2872.48286,,0.00625,200.57759,,0.08809,2107.70723
0.00656,201.61741,,0.0717,2872.44126,,0.00613,198.89765,,0.08817,2107.98111
0.00652,200.06371,,0.07164,2873.0095,,0.00615,197.28343,,0.08824,2108.21677
0.00646,198.57456,,0.07173,2873.90955,,0.00615,195.53322,,0.08823,2108.42553
0.00645,197.0799,,0.07187,2873.81482,,0.00614,193.72486,,0.08832,2108.75238
0.00639,195.51844,,0.07182,2873.99951,,0.00614,191.86709,,0.08835,2108.85759
0.00635,194.07799,,0.07189,2874.39907,,0.00609,189.98331,,0.08838,2109.34776
0.0063,192.65686,,0.07196,2874.6547,,0.00599,188.22031,,0.08837,2109.92034
0.00628,191.22559,,0.07203,2874.66344,,0.00588,186.69858,,0.08842,2110.79094
0.00626,189.70167,,0.072,2874.91222,,0.0059,185.15671,,0.08848,2111.60494
0.00622,188.16205,,0.07199,2875.76151,,0.00593,183.44355,,0.08856,2112.22683
0.00618,186.68001,,0.07208,2876.72802,,0.00585,181.74978,,0.0886,2112.59193
0.00615,185.14438,,0.07226,2876.66724,,0.00575,180.20172,,0.08867,2112.95756
0.00611,183.62455,,0.07217,2876.50621,,0.00569,178.79214,,0.08867,2113.49447
0.00608,182.11423,,0.0721,2877.80756,,0.00571,177.35533,,0.08875,2113.91876
0.00604,180.54618,,0.07216,2879.28726,,0.00572,175.7169,,0.08877,2114.4986
0.00603,178.95125,,0.07233,2880.17403,,0.00562,174.17629,,0.08884,2115.00587
0.00596,177.41245,,0.07241,2880.18699,,0.00553,172.79791,,0.08892,2115.43035
0.00589,176.00992,,0.07242,2880.30548,,0.00552,171.43862,,0.08896,2115.64122
0.00587,174.6112,,0.07253,2880.36117,,0.00553,169.99708,,0.08898,2115.96084
0.00586,173.10893,,0.07253,2879.97854,,0.00546,168.51957,,0.08905,2116.40845
0.00578,171.68441,,0.07242,2880.78771,,0.00535,167.23519,,0.08909,2116.77744
0.00575,170.32726,,0.0724,2882.54198,,0.00534,165.97291,,0.08916,2117.09753
0.00573,168.90092,,0.07249,2884.41194,,0.00533,164.63961,,0.08921,2117.27924
0.00569,167.48365,,0.07273,2884.95087,,0.00528,163.3026,,0.08923,2117.62108
0.00565,166.08535,,0.07283,2884.28276,,0.00518,162.07468,,0.0893,2117.93158
0.00563,164.59869,,0.07279,2883.79104,,0.00521,160.88197,,0.08936,2118.09227
0.00559,163.14119,,0.0728,2884.27214,,0.00525,159.42608,,0.08944,2118.31269
0.00556,161.63458,,0.07292,2884.36908,,0.00517,157.96066,,0.08949,2118.23236
0.00551,160.20943,,0.0729,2884.42024,,0.00508,156.65764,,0.08948,2118.54016
0.00547,158.77162,,0.07297,2884.77112,,0.00511,155.31313,,0.08956,2118.89297
0.00544,157.35089,,0.07292,2885.24885,,0.00496,154.03197,,0.0896,2119.03421
0.00541,155.85099,,0.07298,2886.37079,,0.00493,152.93948,,0.08965,2119.3635
0.00539,154.38163,,0.0731,2886.65263,,0.00493,151.71267,,0.08968,2119.67725
0.00533,152.90589,,0.07309,2887.12172,,0.00479,150.59911,,0.08974,2120.03207
0.00528,151.50546,,0.07326,2887.24335,,0.00477,149.58182,,0.08974,2120.46429
0.00527,150.07223,,0.07335,2886.61422,,0.00471,148.55178,,0.08981,2121.08095
0.00521,148.66783,,0.07333,2886.10495,,0.0047,147.55215,,0.08987,2121.6582
0.00519,147.27322,,0.07329,2886.43468,,0.00475,146.38755,,0.08992,2121.99192
0.00517,145.75108,,0.07322,2887.5602,,0.00468,145.15239,,0.08998,2122.39991
0.00509,144.32804,,0.0733,2889.17445,,0.00455,144.07684,,0.09003,2122.63069
0.00511,142.8613,,0.07335,2890.28498,,0.0045,143.1352,,0.09004,2122.96002
0.00504,141.34548,,0.07344,2891.07557,,0.00455,142.08905,,0.09011,2123.48196
0.00498,139.96313,,0.07349,2891.74101,,0.00453,140.90186,,0.09018,2123.8144
0.00495,138.63992,,0.07358,2892.10588,,0.00451,139.71596,,0.09019,2124.1457
0.00492,137.2829,,0.07367,2891.9084,,0.00448,138.4659,,0.09026,2124.62545
0.00487,135.92722,,0.07358,2892.20667,,0.00446,137.22308,,0.0903,2124.92473
0.00485,134.53709,,0.07368,2893.2982,,0.00447,135.88547,,0.09031,2125.46029
0.00482,133.14601,,0.07386,2893.00506,,0.00441,134.5493,,0.09038,2126.01963
0.00478,131.73382,,0.07383,2892.54702,,0.00436,133.2645,,0.09044,2126.56176
0.00477,130.24772,,0.07383,2892.99204,,0.00444,131.86798,,0.09049,2126.91983
0.00471,128.80081,,0.07374,2893.87831,,0.00438,130.32443,,0.09056,2127.17115
0.00468,127.34454,,0.07381,2895.45263,,0.00418,129.08378,,0.09059,2127.45535
0.00466,125.86544,,0.07401,2896.04258,,0.00413,128.03527,,0.09062,2127.91573
0.00462,124.40333,,0.07404,2895.75983,,0.00425,126.79532,,0.09066,2128.41218
0.00457,122.94121,,0.07399,2896.3836,,0.00438,125.14484,,0.09072,2128.9101
0.00451,121.57675,,0.07407,2897.13306,,0.00422,123.52921,,0.09075,2129.39998
0.00447,120.20186,,0.07421,2897.2972,,0.00408,122.20905,,0.09079,2130.05633
0.00442,118.90903,,0.07435,2896.6838,,0.00414,120.88172,,0.09085,2130.55261
0.00439,117.61399,,0.07431,2895.84111,,0.00426,119.23843,,0.09089,2131.12
0.00436,116.2998,,0.0742,2896.46924,,0.00409,117.60353,,0.09093,2131.77982
0.00435,114.91107,,0.07427,2897.45787,,0.00386,116.38475,,0.09097,2132.25459
0.00431,113.54104,,0.07431,2898.36086,,0.00389,115.28494,,0.09103,2132.93775
0.00426,112.1368,,0.07446,2898.77075,,0.00396,113.94159,,0.09109,2133.38036
0.00427,110.69234,,0.07447,2898.98438,,0.00389,112.55374,,0.09116,2133.78177
0.00419,109.28025,,0.07457,2899.06431,,0.00387,111.22022,,0.09119,2134.08393
0.00416,107.91414,,0.0746,2898.87862,,0.00386,109.83055,,0.09125,2134.38993
0.00413,106.52998,,0.07451,2899.42454,,0.00384,108.39932,,0.09131,2134.7025
0.00408,105.11668,,0.07452,2900.82133,,0.00377,107.00331,,0.09135,2134.98591
0.00407,103.74533,,0.07464,2901.94833,,0.00373,105.66513,,0.09139,2135.34881
0.00403,102.30335,,0.07478,2902.24673,,0.00372,104.30375,,0.09144,2135.67399
0.00401,100.8491,,0.07482,2902.10284,,0.00377,102.84107,,0.09151,2135.9775
0.00395,99.42296,,0.07486,2902.25716,,0.00375,101.23224,,0.09157,2136.12101
0.00394,97.95832,,0.07482,2902.38064,,0.00355,99.85502,,0.09163,2136.32572
0.00388,96.52747,,0.07487,2903.33442,,0.00345,98.71379,,0.09168,2136.34179
0.00384,95.10457,,0.07491,2903.83125,,0.00349,97.52407,,0.09173,2136.33473
0.00379,93.7337,,0.07495,2904.60411,,0.00355,96.1495,,0.09182,2136.32253
0.00377,92.36149,,0.07497,2905.4269,,0.00352,94.70686,,0.09185,2136.14085
