NiTi crystalline-amorphous nanocomposite,,,NiTi crystalline-amorphous nanocomposite,,,110 nm-grain-size polycrystalline NiTi,,,110 nm-grain-size polycrystalline NiTi,
Superelastic,Fig. 2a,,Plastic,Fig. 2b,,Superelastic,Fig. 2a,,Plastic,Fig. 2b
Compressive strain,Compressive stress (MPa),,Compressive strain,Compressive stress (MPa),,Compressive strain,Compressive stress (MPa),,Compressive strain,Compressive stress (MPa)
0.00156,73.34383,,0.00328,156.74584,,0.00187,130.13752,,0.00203,134.26214
0.00157,74.01671,,0.00334,158.32982,,0.00189,131.33144,,0.00201,136.19327
0.00159,74.66609,,0.00327,160.06828,,0.0019,132.52536,,0.00207,138.14892
0.0016,76.37798,,0.00338,161.79705,,0.00192,133.71928,,0.00207,140.14291
0.00167,78.04217,,0.00342,163.36565,,0.00194,134.9132,,0.00211,142.12712
0.00166,79.7744,,0.00344,165.03939,,0.00195,136.10713,,0.00213,144.15446
0.00173,81.56205,,0.00358,166.55964,,0.00197,137.30105,,0.00218,146.13956
0.00177,83.27786,,0.00362,167.95675,,0.00199,138.49497,,0.0022,148.18163
0.00181,84.99118,,0.00354,169.48343,,0.00201,139.68889,,0.00225,150.20203
0.00183,86.68033,,0.00351,171.22711,,0.00202,140.88282,,0.00231,152.17159
0.00187,88.43245,,0.00354,173.01652,,0.00204,142.07674,,0.0023,154.17111
0.00193,90.19176,,0.00373,174.64555,,0.00206,143.27066,,0.00236,156.16382
0.00198,91.8703,,0.00382,175.99096,,0.00207,144.46458,,0.00237,158.18706
0.00199,93.60881,,0.0038,177.37314,,0.00209,145.6585,,0.00244,160.16133
0.00204,95.36132,,0.0038,178.85718,,0.00211,146.85243,,0.00245,162.14098
0.00207,97.10727,,0.00378,180.45082,,0.00213,148.04635,,0.00251,164.13333
0.00213,98.8356,,0.00384,182.04546,,0.00214,149.24027,,0.0025,166.13353
0.00216,100.56538,,0.00382,183.65902,,0.00216,150.43419,,0.00254,168.20841
0.00219,102.33544,,0.00378,185.43176,,0.00218,151.62812,,0.00258,170.22302
0.0022,104.12158,,0.00395,187.15168,,0.00219,152.82204,,0.0026,172.25498
0.00225,106.01402,,0.00406,188.52097,,0.00221,154.01596,,0.0026,174.35216
0.0023,107.80375,,0.00404,189.93788,,0.00223,155.20988,,0.00266,176.44495
0.00232,109.60445,,0.00399,191.52827,,0.00225,156.4038,,0.00269,178.50062
0.00236,111.48362,,0.00407,193.14736,,0.00226,157.59773,,0.00271,180.62928
0.00239,113.3621,,0.00415,194.64455,,0.00228,158.79165,,0.00272,182.73529
0.00242,115.29115,,0.00413,196.13766,,0.0023,159.98557,,0.00276,184.91063
0.00249,117.13173,,0.00399,197.89831,,0.00231,161.17949,,0.00282,186.98944
0.00251,119.03884,,0.00402,199.91108,,0.00233,162.37341,,0.00287,189.02934
0.00256,120.93501,,0.00416,201.72957,,0.00235,163.56734,,0.00289,191.08946
0.0026,122.77434,,0.00427,203.32962,,0.00237,164.76126,,0.00292,193.18541
0.00259,124.74316,,0.00437,204.70725,,0.00238,165.95518,,0.00294,195.23639
0.00266,126.7726,,0.00436,206.13234,,0.0024,167.1491,,0.00296,197.37045
0.00273,128.62126,,0.00441,207.58174,,0.00242,168.34303,,0.00302,199.43617
0.00276,130.48093,,0.00446,208.94576,,0.00243,169.53695,,0.00303,201.53302
0.00278,132.39472,,0.00444,210.39894,,0.00245,170.73087,,0.00305,203.63583
0.00282,134.36391,,0.00448,211.9374,,0.00247,171.92479,,0.00309,205.75346
0.00287,136.27001,,0.00462,213.25114,,0.00249,173.11871,,0.00312,207.86444
0.00292,138.13091,,0.00457,214.56586,,0.0025,174.31264,,0.00313,210.03017
0.00291,140.05307,,0.00453,216.11111,,0.00252,175.50656,,0.00314,212.21931
0.00297,142.05482,,0.00452,217.80268,,0.00254,176.70048,,0.00322,214.38134
0.00302,143.99142,,0.00469,219.35813,,0.00255,177.8944,,0.00325,216.47695
0.00304,145.95995,,0.00474,220.68002,,0.00257,179.08833,,0.00325,218.62352
0.0031,147.91642,,0.00469,222.13367,,0.00259,180.28225,,0.00329,220.7784
0.00314,149.79995,,0.00471,223.70087,,0.00261,181.47617,,0.00332,222.96548
0.00317,151.74964,,0.00477,225.22625,,0.00262,182.67009,,0.00336,225.12563
0.0032,153.70151,,0.0048,226.70743,,0.00264,183.86401,,0.00338,227.28547
0.00324,155.69149,,0.00478,228.2706,,0.00266,185.05794,,0.00341,229.46899
0.00331,157.54205,,0.00477,229.97108,,0.00267,186.25186,,0.00344,231.62896
0.00334,159.46447,,0.00481,231.67104,,0.00269,187.44578,,0.00348,233.77683
0.00336,161.41019,,0.00479,233.44974,,0.00271,188.6397,,0.00349,235.98146
0.00341,163.3774,,0.0048,235.31809,,0.00273,189.83362,,0.00352,238.15294
0.00346,165.2688,,0.00487,237.19344,,0.00274,191.02755,,0.00357,240.33807
0.00349,167.23687,,0.00513,238.64384,,0.00276,192.22147,,0.00362,242.45166
0.00351,169.18636,,0.00513,239.85035,,0.00278,193.41539,,0.00363,244.59765
0.00356,171.12924,,0.00507,241.25187,,0.00279,194.60931,,0.00369,246.70795
0.00361,173.07925,,0.00507,242.84131,,0.00281,195.80324,,0.00374,248.74437
